Pathway	Gene	Correlation
Ribosome	RPLP2	1
Ribosome	RPS21	1
Ribosome	RPS27L	1
Ribosome	MRPL12	1
Ribosome	MRPL14	1
Ribosome	MRPL17	1
Ribosome	MRPL2	1
Ribosome	MRPL20	1
Ribosome	MRPL21	1
Ribosome	MRPL22	1
Ribosome	MRPL27	1
Ribosome	MRPL28	1
Ribosome	MRPL34	1
Ribosome	MRPL36	1
Ribosome	MRPS11	1
Ribosome	MRPS12	1
Ribosome	MRPS15	1
Ribosome	MRPS18C	1
Ribosome	MRPS21	1
Ribosome	MRPS5	1
Ribosome	MRPS6	1
Ribosome	MRPS7	1
Ribosome	MRPS9	1
Ribosome	UBA52	1
Ribosome	RPL24	1
Ribosome	RPL26L1	1
Ribosome	RPL27	1
Ribosome	RPL27A	1
Ribosome	RPL36A	1
Ribosome	RPL37	1
Ribosome	RPL38	1
Ribosome	RPL3L	1
Ribosome biogenesis in eukaryotes	NOB1	1
Ribosome biogenesis in eukaryotes	XRN2	1
Ribosome biogenesis in eukaryotes	NAT10	1
Ribosome biogenesis in eukaryotes	HEATR1	1
Ribosome biogenesis in eukaryotes	GNL3L	1
Ribosome biogenesis in eukaryotes	UTP15	1
Ribosome biogenesis in eukaryotes	WDR3	1
Ribosome biogenesis in eukaryotes	WDR43	1
Ribosome biogenesis in eukaryotes	MPHOSPH10	1
Ribosome biogenesis in eukaryotes	LSG1	1
Ribosome biogenesis in eukaryotes	CSNK2A1	1
Ribosome biogenesis in eukaryotes	CSNK2A2	1
Ribosome biogenesis in eukaryotes	GTPBP4	1
Ribosome biogenesis in eukaryotes	RIOK2	1
Ribosome biogenesis in eukaryotes	NXT2	1
Ribosome biogenesis in eukaryotes	RAN	1
Ribosome biogenesis in eukaryotes	FCF1	1
Ribosome biogenesis in eukaryotes	XPO1	1
MAPK signaling pathway	NFATC1	1
MAPK signaling pathway	HGF	1
MAPK signaling pathway	PDGFA	1
MAPK signaling pathway	PDGFB	1
MAPK signaling pathway	PDGFRB	1
MAPK signaling pathway	RASGRP3	1
MAPK signaling pathway	MAP3K12	1
MAPK signaling pathway	NR4A1	1
MAPK signaling pathway	MAP3K6	1
MAPK signaling pathway	HSPA2	1
MAPK signaling pathway	KIT	1
MAPK signaling pathway	HSPA8	1
MAPK signaling pathway	DUSP5	1
MAPK signaling pathway	DUSP6	1
MAPK signaling pathway	CACNA1C	1
MAPK signaling pathway	CACNA1H	1
MAPK signaling pathway	CACNA2D1	1
MAPK signaling pathway	CACNB3	1
MAPK signaling pathway	AKT3	1
MAPK signaling pathway	IGF1R	1
MAPK signaling pathway	MECOM	1
MAPK signaling pathway	MEF2C	1
MAPK signaling pathway	FGFR1	1
MAPK signaling pathway	FLNA	1
MAPK signaling pathway	FLT4	1
MAPK signaling pathway	TEK	1
MAPK signaling pathway	VEGFC	1
MAPK signaling pathway	FOS	1
MAPK signaling pathway	TGFA	1
MAPK signaling pathway	TGFB3	1
MAPK signaling pathway	TGFBR1	1
Calcium signaling pathway	CACNA1C	1
Calcium signaling pathway	ITPKB	1
Calcium signaling pathway	ITPR1	1
Calcium signaling pathway	EDNRA	1
Calcium signaling pathway	EDNRB	1
Calcium signaling pathway	PDGFD	1
Calcium signaling pathway	PDGFRB	1
Calcium signaling pathway	FGFR1	1
Calcium signaling pathway	TBXA2R	1
Calcium signaling pathway	F2R	1
Calcium signaling pathway	NOS3	1
Calcium signaling pathway	KDR	1
Calcium signaling pathway	FLT1	1
Calcium signaling pathway	FLT4	1
Calcium signaling pathway	VEGFC	1
Calcium signaling pathway	ADCY3	1
Calcium signaling pathway	ADCY4	1
cGMP-PKG signaling pathway	CACNA1C	1
cGMP-PKG signaling pathway	ITPR1	1
cGMP-PKG signaling pathway	NFATC1	1
cGMP-PKG signaling pathway	EDNRA	1
cGMP-PKG signaling pathway	EDNRB	1
cGMP-PKG signaling pathway	MYL9	1
cGMP-PKG signaling pathway	AKT3	1
cGMP-PKG signaling pathway	PDE2A	1
cGMP-PKG signaling pathway	PDE5A	1
cGMP-PKG signaling pathway	MEF2C	1
cGMP-PKG signaling pathway	KCNMB1	1
cGMP-PKG signaling pathway	NOS3	1
cGMP-PKG signaling pathway	NPR1	1
cGMP-PKG signaling pathway	GUCY1A2	1
cGMP-PKG signaling pathway	ADCY3	1
cGMP-PKG signaling pathway	ADCY4	1
cGMP-PKG signaling pathway	ADRA2B	1
cGMP-PKG signaling pathway	PRKG1	1
Pathways in cancer	BIRC3	1
Pathways in cancer	STAT4	1
Pathways in cancer	STAT5A	1
Pathways in cancer	HMOX1	1
Pathways in cancer	CSF1R	1
Pathways in cancer	CSF2RA	1
Pathways in cancer	CSF2RB	1
Pathways in cancer	CSF3R	1
Pathways in cancer	PRKCB	1
Pathways in cancer	CXCL12	1
Pathways in cancer	CXCR4	1
Pathways in cancer	IFNGR2	1
Pathways in cancer	IL12RB1	1
Pathways in cancer	PTGER4	1
Pathways in cancer	IL2RB	1
Pathways in cancer	IL2RG	1
Pathways in cancer	IL7R	1
Pathways in cancer	CCND2	1
Pathways in cancer	MMP9	1
Pathways in cancer	FZD2	1
Pathways in cancer	RAC2	1
Pathways in cancer	JAK3	1
Pathways in cancer	RASGRP1	1
Pathways in cancer	RASGRP4	1
Pathways in cancer	RASSF5	1
Pathways in cancer	GNB4	1
Pathways in cancer	GNG2	1
Pathways in cancer	GNGT2	1
Pathways in cancer	PIK3CD	1
Pathways in cancer	PIM2	1
Pathways in cancer	PLCB2	1
Pathways in cancer	TRAF1	1
Pathways in cancer	GSTP1	1
Pathways in cancer	SPI1	1
Pathways in cancer	LPAR5	1
Pathways in cancer	LPAR6	1
