Pathway	Gene	Correlation
Glycolysis / Gluconeogenesis	ACSS1	1
Glycolysis / Gluconeogenesis	FBP1	1
Glycolysis / Gluconeogenesis	BPGM	1
Glycolysis / Gluconeogenesis	PCK2	1
Glycolysis / Gluconeogenesis	GALM	1
Glycolysis / Gluconeogenesis	PFKP	1
Glycolysis / Gluconeogenesis	PGAM1	1
Glycolysis / Gluconeogenesis	ADH5	1
Glycolysis / Gluconeogenesis	ALDH2	1
Glycolysis / Gluconeogenesis	ADH6	1
Glycolysis / Gluconeogenesis	ALDH7A1	1
Glycolysis / Gluconeogenesis	ALDOB	1
Glycolysis / Gluconeogenesis	PKM	1
Glycolysis / Gluconeogenesis	PDHA1	1
Pyruvate metabolism	MDH1	1
Pyruvate metabolism	ACSS1	1
Pyruvate metabolism	ME3	1
Pyruvate metabolism	ALDH2	1
Pyruvate metabolism	ALDH7A1	1
Pyruvate metabolism	ACAT2	1
Pyruvate metabolism	PC	1
Pyruvate metabolism	PKM	1
Pyruvate metabolism	PDHA1	1
Pyruvate metabolism	PCK2	1
Glyoxylate and dicarboxylate metabolism	GCSH	1
Glyoxylate and dicarboxylate metabolism	MDH1	1
Glyoxylate and dicarboxylate metabolism	SHMT1	1
Glyoxylate and dicarboxylate metabolism	GLDC	1
Glyoxylate and dicarboxylate metabolism	ACSS1	1
Glyoxylate and dicarboxylate metabolism	ACAT2	1
Glyoxylate and dicarboxylate metabolism	GLYCTK	1
Glyoxylate and dicarboxylate metabolism	PCCB	1
Glyoxylate and dicarboxylate metabolism	CAT	1
Glyoxylate and dicarboxylate metabolism	ACO2	1
Oxidative phosphorylation	TCIRG1	1
Oxidative phosphorylation	ATP6V0C	1
Oxidative phosphorylation	COX17	1
Oxidative phosphorylation	NDUFA11	1
Oxidative phosphorylation	NDUFA12	1
Oxidative phosphorylation	NDUFA13	1
Oxidative phosphorylation	NDUFA2	1
Oxidative phosphorylation	NDUFA3	1
Oxidative phosphorylation	COX5B	1
Oxidative phosphorylation	COX6B1	1
Oxidative phosphorylation	NDUFA7	1
Oxidative phosphorylation	COX8A	1
Oxidative phosphorylation	NDUFB11	1
Oxidative phosphorylation	NDUFB2	1
Oxidative phosphorylation	NDUFB3	1
Oxidative phosphorylation	NDUFB4	1
Oxidative phosphorylation	NDUFB6	1
Oxidative phosphorylation	NDUFB7	1
Oxidative phosphorylation	NDUFB8	1
Oxidative phosphorylation	NDUFB9	1
Oxidative phosphorylation	NDUFC2	1
Oxidative phosphorylation	NDUFS3	1
Oxidative phosphorylation	NDUFS4	1
Oxidative phosphorylation	NDUFS6	1
Oxidative phosphorylation	NDUFS8	1
Oxidative phosphorylation	PPA2	1
Oxidative phosphorylation	ATP6V1H	1
Oxidative phosphorylation	COX4I1	1
Oxidative phosphorylation	UQCR11	1
Oxidative phosphorylation	COX5A	1
Oxidative phosphorylation	NDUFA4	1
Oxidative phosphorylation	COX6A1	1
Oxidative phosphorylation	NDUFA4L2	1
Oxidative phosphorylation	UQCRFS1	1
Oxidative phosphorylation	COX7B	1
Oxidative phosphorylation	NDUFC1	1
Oxidative phosphorylation	NDUFS5	1
Fatty acid elongation	HADHA	1
Fatty acid elongation	THEM5	1
Fatty acid elongation	PPT2	1
Fatty acid elongation	ELOVL1	1
Fatty acid elongation	ELOVL5	1
Steroid biosynthesis	SC5D	1
Steroid biosynthesis	SQLE	1
Steroid biosynthesis	DHCR7	1
Steroid biosynthesis	FDFT1	1
