Ensembl_ID	TCGA-L5-A4OI-01A	TCGA-L7-A6VZ-01A	TCGA-JY-A93D-01A	TCGA-VR-A8EX-01A	TCGA-L5-A8NF-01A	TCGA-L5-A8NH-01A	TCGA-L5-A4OT-01A	TCGA-2H-A9GO-01A	TCGA-VR-A8EU-01A	TCGA-VR-A8EZ-01A	TCGA-LN-A5U5-01A	TCGA-L5-A4OO-01A
A1BG	0.057297373	0.050806587	0.085655964	0.032284509	0.029266253	0.035474122	0.037224697	0.205142442	0.093075812	0.109278351	0.017867984	0.126578544
A2M	4.924282451	5.507797073	8.788852414	2.999135145	6.00069181	5.956455599	7.587349722	4.36565482	4.89805828	5.24707723	4.842226708	7.601426139
A2ML1	0.009586819	0.271671661	0.045009863	7.039618063	0.01345184	0.053183248	0.116676579	0.034466553	5.228505105	0.102642544	2.972948678	3.237355474
A4GALT	1.072427935	1.152843442	3.010597612	4.427720104	1.573322602	1.520001448	2.475860778	1.050991622	3.100052853	5.288606459	4.134614985	3.454847369
AAAS	2.973806259	3.424226171	2.927173877	3.552753544	3.038239147	3.306805457	2.842821251	3.628818204	3.146463297	4.441830292	4.198334773	2.805788435
AACS	1.523427411	1.565977403	1.454618786	2.774994969	1.744825409	1.323433208	1.659559665	1.463415622	2.065763098	2.145477044	2.327960964	1.747883101
AADAT	0.113258041	1.298587467	1.042298999	0.739028623	2.169123289	1.772724647	1.432525616	1.869326538	1.157948116	1.653401781	0.754147895	1.872562934
AAGAB	4.260104866	4.690888961	4.180868661	3.72189256	3.734239321	4.124024416	4.113136659	5.183935887	3.416074788	3.400125778	4.252373717	3.723217931
AAK1	1.910832751	2.105235963	2.889050583	2.069707276	1.841458285	2.154684794	3.093957652	2.276609744	2.268681326	1.908412112	1.432785804	2.21852276
AAMDC	2.191183846	2.732255584	1.950723738	1.58350107	1.714393467	2.613444205	2.157834261	1.911743211	1.183292833	2.474086174	1.916457342	2.429307066
AAMP	5.251404182	5.330663785	4.265698632	4.573403796	4.903065922	4.764339345	4.591515626	5.132158907	4.040992364	4.569916567	5.010685694	5.443960734
AANAT	0.199400311	0.021665528	0.184926607	0.367113417	0.061754006	0.20624785	0.147407477	0.274564945	0.204614678	0.042626517	0.262391815	1.564133387
AAR2	3.701157809	4.730029878	3.81673559	3.662064123	4.679972844	4.601385096	3.594992527	4.224449081	3.5448487	3.570598588	3.487344455	4.047757688
AARS2	3.373126298	3.904742973	2.633231198	2.435196006	2.881058482	4.134753073	2.754775018	3.10391941	2.206346606	2.546118557	2.580180085	2.629501253
AARSD1	1.224318013	0.852116742	0.903866804	1.14024508	1.201808607	1.758178322	1.012702052	1.340174312	1.009102728	1.175578359	0.816821263	1.380387556
AASDH	1.420844832	1.493437156	2.007806469	1.67155317	2.196539663	1.966720797	1.739786675	1.754903893	1.424171046	1.926919837	1.6346728	1.508130892
AASDHPPT	2.487859136	2.988533193	2.882921374	2.684359514	2.603225343	2.537631582	2.437169528	2.639201868	2.601984189	2.207822367	3.725800687	2.303104095
AASS	1.656701908	0.587682361	2.606783805	1.568887423	1.324835185	1.457263709	1.970611973	0.95489398	0.831238037	0.851131423	2.27134026	1.357829127
AATF	3.966173118	3.821966963	3.228822867	4.370794685	3.768285973	3.959259993	3.4526376	3.857186257	4.49007835	4.145291641	3.741746579	3.603076312
AATK	3.600864668	2.448163173	1.139352512	0.416791922	2.858632885	2.852342026	1.110044641	0.960141832	0.712820926	0.421911759	0.379336337	1.822755907
ABAT	1.316589601	0.818867735	1.486618154	1.499410615	2.974436269	0.657148455	0.572984659	1.088911325	0.204215234	0.226313364	1.047516857	1.132643796
ABCA1	0.723023609	2.652419832	3.531512606	1.830236761	1.219379854	1.866216932	3.177052775	1.238594161	3.879590077	2.033652646	2.78073993	3.270590251
ABCA10	0.426233613	0.183146586	1.411542057	0.234980385	0.387001377	0.848697617	0.943690116	0.196173351	0.120813707	0.557712031	0.907744098	0.921843514
ABCA12	0.002484608	1.884001904	0.152283905	1.152343057	1.050286836	2.851103606	1.562860624	0.073829339	2.708995347	0.626684931	1.399614246	0.853030237
ABCA13	0.045910455	0.629150912	0.60165537	1.327955424	0.244102178	0.206935071	0.438773619	0.634451875	1.593726485	2.858208751	0.725683568	0.558268412
ABCA2	4.63069638	3.040772901	2.800129898	1.755421358	2.2641932	2.286289642	3.126908019	2.312901465	1.007025954	2.601018191	1.791932199	3.119745414
ABCA3	3.684429252	2.006819498	1.761988173	1.172871814	0.614699651	0.587993676	0.770690028	0.512858822	1.259433674	1.822256198	0.299007308	1.639297046
ABCA5	1.949230612	0.934176003	1.695527994	1.505681126	1.762441404	1.750041377	1.54046156	0.950244675	1.109365243	2.123657393	1.355267904	1.830433059
ABCA6	0.10987953	0.058480889	2.227330842	0.128996706	0.189285922	0.183527082	0.830891996	0.03204428	0.09224752	0.125598107	1.166940858	0.941636752
ABCA7	3.741975969	1.563204727	2.596265391	2.576949473	2.453067276	2.034173599	2.53003018	2.268528011	2.042826354	1.295837453	2.260130328	1.787175472
ABCA8	0.150185644	0.177168791	3.1139518	0.092369371	0.747665299	0.702694553	2.26262359	0.135427923	0.081579215	0.080307481	0.135927319	1.11316912
ABCA9	0.11092005	0.083004436	2.211549264	0.058888482	0.352728271	0.247157063	0.919003053	0.061836601	0.121195245	0.143934678	0.24909617	1.322315984
ABCB1	0.464853125	0.395941497	2.538904088	0.157749568	1.27421941	0.77454959	1.517057938	0.259018809	0.108582177	0.346492826	0.496291083	1.939861911
ABCB10	3.902783532	2.171079485	2.835589243	2.445626502	2.939386558	3.083642331	2.852888966	1.310185218	2.350278203	3.764281219	2.930104033	2.513470631
ABCB4	0.021707572	0.286421764	0.54018108	0.139622172	1.406272699	0.590406846	0.179813098	0.26807803	0.038040112	0.107174971	0.119825162	0.546747621
ABCB6	0.500516254	1.398418446	0.848275257	0.892916335	0.76934557	1.124782366	0.692499574	1.560458783	0.924163866	2.793915804	3.10131827	1.420829911
ABCB7	3.459487231	3.093968082	3.099692861	2.441508886	3.191527272	3.448056545	3.035786151	2.979026164	3.486299293	3.214605387	3.017511317	2.647321709
ABCB8	2.64227967	2.174345707	2.293841358	2.538190757	1.606879519	2.456882459	2.108156218	2.350953334	2.072785072	2.590021486	2.266446169	2.840882215
ABCB9	0.700639133	1.488871683	0.802093739	0.674592744	0.585265234	0.387985574	1.205886632	0.806030569	0.928945609	1.104529688	0.444235934	0.640842187
ABCC1	3.022596532	4.101640545	4.099043728	4.365812059	4.241976456	3.640565046	3.88958981	3.427898124	4.85089843	6.64555293	6.263273237	3.838351273
ABCC10	2.816375629	2.996898911	2.582250862	2.633218393	2.448109067	3.67798622	2.230184955	2.149562178	2.324227517	2.2593466	2.052552186	2.363556981
ABCC11	0.087768859	0.066621498	0.313127472	0.140917871	0.270051572	0.112188151	0.127151106	0.068661493	0.156047402	0.156024294	0.246164741	0.089804723
ABCC2	0.169935172	0.254822224	0.335870781	0.109097676	0.703028527	0.32426864	0.184615949	0.122708864	0.228175279	0.222184674	0.558402898	0.239728242
ABCC3	5.08304075	5.175018347	4.547316167	1.19414255	5.571874981	5.326420465	3.736929299	3.291676759	3.412160674	1.81245709	4.319425342	5.843781231
ABCC4	0.386490089	1.443173102	2.743497068	0.678603063	2.056088066	2.09309498	3.011803997	2.309745	1.644840691	2.031214904	1.247530171	1.615463314
ABCC5	2.29770591	2.539913539	2.732512145	3.766928762	2.186459699	1.97963961	2.354731911	2.092081455	3.236823971	4.321570165	4.981227813	2.905220834
ABCC6	0.891076853	1.732640129	1.11932318	0.375657863	2.370794667	1.449716296	1.554625105	2.210048455	0.145290558	0.792042832	0.515301028	0.806050012
ABCC9	0.25319819	0.273691382	2.337416496	0.114436469	0.649895882	0.306664578	1.248752157	0.221494528	0.537186405	0.413980722	0.487640458	1.597089266
ABCD1	3.519946694	4.736489108	2.975108707	2.614203966	3.314745479	3.770310778	3.281805009	2.899712856	2.972544373	3.490500106	3.998032849	4.464656853
ABCD2	0.00748782	0.047737581	0.67427313	0.105103174	0.025095804	0.223864999	0.223862522	0.008144331	0.021449766	0.059508983	0.09494735	0.473708735
ABCD3	3.625394747	3.419713315	3.305962905	2.951407669	3.797767992	3.015964388	3.205816194	3.5089861	2.136230057	2.452038999	3.711026841	3.376265396
ABCD4	2.506100815	1.920283882	2.076662994	1.637415346	2.124121836	2.088785928	2.169012229	1.599177798	1.746914048	1.45363601	2.706026607	2.727265222
ABCE1	3.903616755	3.797028217	4.025259491	3.831031327	4.099614535	4.291880947	3.469366696	4.480764129	4.480339657	4.139727979	3.874029387	3.778637624
ABCF1	4.081711306	5.595780674	4.397322696	4.532316301	4.671580389	5.124316185	4.727606092	4.977742295	4.423234688	4.027894238	4.588757721	4.390386677
ABCF2	4.017379981	3.788006461	3.778213049	4.382642618	2.668700095	4.135823266	3.750800576	3.973282681	4.534636964	4.274423689	4.394490187	3.880054962
ABCF3	3.515866135	3.527581451	2.985134639	3.380191838	3.257965418	3.259669673	2.849742589	4.186001452	3.736950769	3.797258065	4.198762019	3.454403943
ABCG1	0.875969745	2.359108687	2.487003375	1.378267043	2.072266502	2.39516532	2.09044036	1.75162446	1.756680068	1.847420102	2.031789425	3.659817072
ABCG2	0.531328157	0.539423131	1.584663964	0.287658253	0.908992064	1.115933148	1.199059153	0.542490989	0.74379646	1.979016268	0.546781815	0.936854616
ABCG4	0.022231171	0.052399711	0.184936672	0.061250027	0.076622892	0.045169952	0.064769083	0.068747032	0.148684061	0.138204512	0.048004871	0.103264783
ABHD1	0.073932121	0.156409393	0.121957057	0.134748219	0.106796731	0.164985237	0.176370934	0.245614914	0.057085897	0.305042673	0.042156996	0.10306539
ABHD10	3.175875459	2.939714753	2.945885228	2.892950333	3.657837383	2.621456847	2.933907163	4.652981695	3.025870775	2.333143535	2.601502335	3.196533358
ABHD11	5.205521313	4.923086059	4.392408799	3.798187786	4.519253466	5.543874403	5.193339768	4.91720755	3.175658752	5.665307804	3.606814847	4.821859299
ABHD12	4.184780623	4.093431233	4.288999742	4.119885749	4.594742529	4.46877469	4.751296037	4.116376512	4.171779061	3.949371818	4.185421048	3.992116798
ABHD13	2.836904389	1.708342529	2.877815585	1.934559323	2.841907622	3.004388965	2.674021992	2.482608901	2.002074648	1.777604871	2.569432116	2.84857743
ABHD14A	2.356816529	2.205919839	1.890588924	1.998725562	1.299513632	1.699913862	1.326597045	1.333252123	1.346899914	2.522186841	1.802305857	2.411514914
ABHD14B	5.33287614	4.154979582	3.602404921	4.14124414	4.099750464	4.340853415	3.875848047	3.539559429	3.278467753	3.146204311	3.706466843	4.173829645
ABHD15	2.820430505	3.46143731	2.909053778	2.686245361	3.215479286	2.661515329	2.567164862	3.240080527	3.181923456	2.637284046	2.993338581	3.35928512
ABHD16A	2.146451093	2.057379764	1.30558855	1.088402605	1.625496022	1.751989718	1.204617076	1.315037851	0.853397905	0.868250578	1.284818981	1.634707421
ABHD17A	3.152459007	2.901456962	2.907267117	3.698790435	2.799960504	3.03388622	3.136988966	2.832783206	3.248189264	3.63118929	2.35182992	3.142256645
ABHD17B	2.7439336	3.544998251	3.225744264	3.624073392	2.095521633	3.318652893	3.403992514	3.009588301	3.214496019	2.181970301	3.546463823	3.106761111
ABHD17C	5.586145569	5.709626233	3.59277523	4.298378931	5.027527577	5.094473537	4.656775415	4.395803333	2.793397317	4.03063764	4.81083628	4.284490365
ABHD2	6.865025314	7.805264585	5.051705693	3.459063118	5.920453388	5.194095162	5.236004396	3.477055707	3.789019562	3.716901667	5.13119259	4.790476658
ABHD3	3.357921365	3.75327609	3.254073225	2.441239253	3.766336457	3.037238664	3.572544931	3.316056129	2.852947649	4.043252808	4.502255535	3.649898509
ABHD4	3.484489136	4.531791304	4.208711738	3.953421305	2.740155119	3.255226278	4.137265019	2.666253197	3.475232613	5.496666664	5.620316538	4.359180213
ABHD5	2.634316388	2.74946588	2.591142587	3.291497469	2.231642651	2.33563718	2.810674479	2.612079674	2.729128492	2.860950827	2.264491109	2.177775424
ABHD6	2.430569439	2.713956471	2.138319549	1.950256473	1.788746241	1.525579564	2.087242858	1.656085025	1.780773425	2.114456053	1.559450635	1.245844611
ABHD8	1.608322189	2.201166953	2.654815588	2.544059664	1.643195852	2.244777123	2.38479461	2.405572518	2.174811971	2.784439331	2.69681005	3.440569968
ABI1	4.515698589	4.637486748	4.665666457	4.847934197	4.211511932	4.680397833	4.237337268	4.430074426	4.944470251	3.368662549	3.856086755	4.191899438
ABI2	1.068832279	1.514143192	2.198406667	0.952832025	1.831343681	1.438996996	1.893882055	1.750733789	2.163399861	1.706492312	1.506273265	2.154768495
ABI3	1.251660145	1.862127081	3.386322242	2.041030717	1.258675875	2.409849	2.904131116	1.052152355	2.1594773	2.454579979	2.108798722	2.861399232
ABI3BP	0.323465735	1.019539229	4.480966614	0.54512395	1.189037514	0.601968072	2.511834222	0.094308557	0.551586861	0.161496559	1.07386365	1.598296699
ABL1	4.180524719	4.094736122	4.976819255	3.87202202	3.863545001	4.51188291	4.60679214	3.495980937	4.343818266	3.582416433	4.894629799	4.958747518
ABL2	2.13984721	1.889276281	3.096591249	1.662220751	1.906300979	2.716783789	2.909235981	2.04707438	2.707938821	1.487060535	1.961612051	2.546216286
ABLIM1	4.571027507	4.498727254	4.697460302	5.653708748	6.325292224	5.438648909	4.41855113	3.404353033	4.662788085	3.153775711	3.836812658	5.057645181
ABLIM2	3.391707752	1.44365191	1.60467625	1.687543063	1.245334923	2.454735541	0.968187782	1.347746014	1.910958244	0.406755205	0.990049583	1.958547718
ABLIM3	2.97914689	1.921624321	2.666621026	2.353492095	0.966769545	0.914634159	1.502486889	0.813616151	2.746859473	0.603998578	0.741556975	2.317468585
ABO	3.237929105	2.938249449	2.530005762	1.867134036	2.71227148	1.864962214	1.351120429	1.819940518	1.772264664	2.586535249	4.281713622	4.108997049
ABR	4.3978622	4.243237299	3.719533698	4.356473662	3.789548955	4.384300737	3.022169025	3.240599328	3.419890984	2.578374446	3.639567474	3.791236702
ABRACL	4.486962687	4.778450572	4.453415684	5.018477416	4.334730735	4.998479273	4.541899732	5.557507821	4.890719062	5.704833105	5.858912998	4.086632059
ABT1	3.278168341	4.020514324	3.31486925	3.675829391	3.356465512	3.178983506	2.821132881	3.359059678	3.173976519	3.380654097	3.308100756	3.050908593
ABTB1	4.483786996	4.363901123	2.877248557	2.266821103	3.36877872	2.855551132	2.715528856	2.983142009	2.198661556	2.411167449	1.135892371	3.182877631
ABTB2	3.264467844	3.048978672	3.25208482	1.912124321	2.118656597	4.197383267	4.390690789	2.053314205	1.574455417	0.831178881	2.437523741	3.206196343
ACAA1	2.646181541	3.36150169	2.430563127	2.585211145	2.084918799	2.396296628	2.779955259	4.004633597	1.776144353	2.026381639	2.313588139	2.464220973
ACAA2	4.304377036	3.535657276	3.130444391	1.369398897	2.831526364	4.814696886	2.853373215	2.545728482	2.687622645	2.019958938	1.118565704	3.253883553
ACACA	3.717285322	2.460863798	2.646897261	3.650999929	3.172849068	3.222536547	2.762694344	1.864543361	3.834120661	2.890790171	3.328539102	2.953762911
ACACB	1.257517581	2.619684889	2.315722079	0.354735115	2.360476706	1.700388652	2.304411137	1.813518191	0.589976529	1.417199873	1.204957605	1.869216629
ACAD10	2.382973588	2.458275199	2.09309685	1.834352805	2.457703756	2.378461214	1.757026742	2.403335136	1.535878194	2.241264396	2.398372557	1.940929854
ACAD11	0.122571964	0.121148525	0.163455041	0.067545914	0.188860663	0.086124002	0.118160714	0.147803076	0.166500159	0.115478639	0.052964147	0.250858827
ACAD8	2.16188461	1.698816641	1.772185581	1.305051294	1.805151482	1.769786883	1.848662306	1.984939435	0.825519415	1.277622687	1.172710216	1.77774677
ACAD9	3.045795002	3.595297648	3.110873373	3.576307525	3.816718618	3.192399076	3.049777773	4.312264695	3.66125525	3.273859587	3.840562114	3.327526125
ACADM	3.068778578	2.76280199	3.109982216	2.888037397	3.296471743	2.739050361	3.119274205	3.791757352	2.819424916	3.31222203	4.749312769	2.831627698
ACADS	4.652086617	3.880035457	2.445485735	2.704610236	2.655682277	3.375365068	2.260369171	3.320931968	2.191869605	2.515279689	3.610341989	3.308368677
ACADSB	2.800194432	2.295607209	2.415036559	2.827583684	2.879491431	2.3258641	2.20462914	2.674933226	1.127228301	2.255014781	2.411401905	2.265923888
ACADVL	4.913653414	5.346553781	4.493426866	5.162555241	5.199183965	5.463293716	4.569016739	5.992504706	5.063003147	4.570574733	6.092601969	4.845108753
ACAN	0.320175142	1.615740961	0.741101895	0.099597772	0.617631531	1.556594264	0.852108514	0.452061835	0.536380865	0.430807304	0.440407949	0.794248836
ACAP1	2.677053778	0.572120787	1.815816975	1.475667847	0.524878868	1.054308818	1.178124896	1.222821928	0.622572747	1.090308873	0.900058516	1.912852244
ACAP2	3.213225602	3.123716456	3.544291431	3.259238981	3.700048253	2.838573937	3.238193472	3.647812185	3.957855333	3.762948452	4.095454889	3.492213277
ACAP3	3.108371167	2.470943404	2.380363306	3.670869282	2.639534786	2.650039137	2.310255074	2.903759447	2.848429748	4.148426439	2.237668714	2.927601034
ACAT1	2.716302542	2.850214744	2.60367707	1.585038376	1.961180528	2.478159074	3.239227525	3.687421011	1.799627407	2.599194727	2.764608982	1.837732594
ACAT2	3.629369005	2.448303596	1.790999419	2.850493273	2.94954793	2.522727849	1.668984862	2.24082717	3.33461264	3.461002504	4.095285429	2.126574458
ACBD3	5.154966022	4.55884029	4.831036235	4.728437179	5.383014213	5.122788272	5.533444634	5.217975446	3.728494211	4.359599152	4.893967108	4.72269587
ACBD4	1.392173937	1.763714062	1.857855643	0.786646498	1.976387567	1.307808513	1.254897586	1.104564027	0.566344798	1.093531415	1.194762062	2.26616165
ACBD5	4.307677124	5.247161568	4.066386758	3.014496208	3.68559391	4.462677267	3.742533641	4.251241307	3.226258053	2.584277623	3.247129118	3.45885949
ACBD7	0.162442534	1.250255531	0.911907269	0.446902154	0.922285645	0.292402358	0.143848471	0.359400773	0.258262394	0.376413942	0.841175396	0.733028521
ACCS	0.615502854	0.875142927	2.209950766	0.802234868	1.523119749	0.98077842	1.426094118	1.591893908	0.987620719	0.791140503	0.914378064	1.341604613
ACD	2.322913081	2.813156828	2.303549863	3.118453762	3.116935667	2.986066535	1.822983161	2.550312428	3.518745024	4.312097621	3.386325317	3.263284896
ACE	3.754998073	3.057125732	2.701707986	0.549766909	2.694432465	3.464398868	2.289776575	1.92988217	1.580860648	1.091204623	0.818785523	3.863335037
ACE2	1.710929058	3.154724202	0.665413142	1.851726489	1.540935487	2.837338499	0.450717984	0.299681102	0.476121162	0.444999716	1.721781473	1.505999404
ACER2	1.596141071	5.655589857	4.15242628	1.501288044	2.89723293	2.761618991	3.843743011	1.406855097	0.717347818	1.29254587	0.748777226	1.578288856
ACER3	3.085156626	2.195270719	3.385648436	2.605972701	2.817685969	3.115205409	3.223850023	2.892193102	2.122239377	2.714166175	2.586390347	2.835927091
ACHE	0.160213516	4.925868801	3.784312484	0.872629969	2.769753097	4.329659869	3.80780683	3.046101376	0.314154573	0.126350608	0.3035321	3.551191167
ACIN1	4.358136291	4.130802097	4.222148098	4.04109901	3.771692158	4.263249258	4.427079544	4.021101617	3.662251004	3.948258462	3.992721161	4.561077732
ACKR1	0.843006606	1.172163513	4.516927886	0.882617019	2.263241205	1.261163376	2.446221403	1.036205238	0.805633981	1.085832959	1.881518625	2.885588651
ACKR2	0.138684525	0.193323508	1.004077175	0.582356503	0.384295835	1.671675452	0.246921232	0.503415994	1.153965503	0.074280054	0.113908344	0.173286498
ACKR3	1.384094847	2.444044849	4.348911455	3.947625032	2.780669075	3.183906512	4.294141024	2.576038746	4.109592069	4.600253767	6.765470862	3.600278313
ACKR4	0.771380675	2.273238901	1.493015767	0.233262179	1.63265401	1.262106637	1.369342574	0.418593899	0.808746949	0.265732023	0.246944447	2.202909693
ACLY	5.414696084	4.853865744	4.967918893	4.898459326	5.188910318	5.98937547	4.627373039	4.675595184	5.727962405	5.411200149	4.910221777	4.809024743
ACO1	3.846797396	4.773760313	3.471777662	1.902380168	2.894969077	3.485647709	3.531836535	3.863957749	1.920108543	3.159956444	3.177157675	2.484972624
ACO2	5.023101988	4.453701434	4.1193249	4.508501545	5.365079969	4.581984945	3.990289821	4.202274406	4.632831969	5.465749955	4.76587342	4.226809017
ACOT1	0.392499636	1.32701643	0.778425908	0.773290439	0.963847573	1.784530991	0.984052721	1.416764636	1.157817974	0.468192289	1.129356522	0.790052428
ACOT11	3.215610705	2.686338381	1.83817507	1.584539563	2.843438297	2.398852838	1.24779583	1.348319014	0.892834213	0.982734399	0.962048731	1.485518209
ACOT13	1.034931165	2.221893174	1.860137287	2.720550078	2.733053799	1.987171684	1.679994331	2.855864463	2.361937803	2.495489734	3.614486371	2.021448099
ACOT2	1.745659089	3.229919727	2.178610523	2.518013333	2.084724515	3.277099252	2.407221722	2.316024053	2.50305802	2.405350287	2.176484585	2.232557149
ACOT4	0.262156476	1.741069359	1.02268319	0.598659328	1.762308855	1.562023159	1.731969483	1.061047353	0.666969842	0.737502247	0.854757437	1.323908907
ACOT7	3.493131255	3.963682454	2.687109667	4.196915799	3.889651036	3.76793454	2.236736682	3.415963503	4.912234671	4.553094305	3.555301379	3.435143839
ACOT8	2.026524545	3.531774568	2.546113723	2.450800665	3.387774457	2.489476705	2.153302999	3.084025371	1.496623359	2.275268428	2.095424765	2.442377505
ACOT9	3.345804637	2.42704181	2.987989878	2.165238752	2.663647195	2.560405393	3.164002147	3.28478081	2.691527621	1.851257054	2.598283992	2.948522609
ACOX1	3.836112377	4.391127528	4.455891788	3.034019167	4.075492284	4.173359389	4.49387648	4.50447918	2.660815172	2.814006589	2.830606308	3.52636064
ACOX2	1.753635885	0.394895745	1.613640456	0.374068005	1.150356255	0.386117819	0.530383438	0.085435504	0.204387262	0.251689597	0.294424068	0.857844484
ACOX3	2.836802541	3.128081394	2.470265277	3.513917212	2.625077098	2.528004026	1.846640243	2.122519588	1.777997602	1.984576953	2.151568168	2.73917088
ACOXL	0.329978433	0.283542588	0.253234667	0.09681257	0.030586426	0.267703092	0.137776783	0.244090104	0.02656117	0.10183037	0.093997085	0.477212597
ACP1	3.91311629	4.149209506	3.824634072	3.700802517	3.515533059	4.055696526	3.843583373	4.635584557	3.811833539	3.820819242	4.47790059	3.339016893
ACP2	4.072926052	4.027923323	3.849445707	3.547122651	2.676287692	3.929801367	3.888487944	4.252423427	4.228566836	3.591371543	3.631316177	4.269293044
ACP5	2.166533746	2.651517908	4.557907822	3.971236602	2.674133455	3.602862031	3.8789063	2.477169738	4.834008072	3.323802252	3.12682596	4.458037234
ACP6	1.411977593	1.640462057	1.414294748	1.726334432	1.506841536	1.863545751	0.861946663	1.754873338	0.323218771	0.879799972	1.308373814	1.868998497
ACRBP	3.173271782	1.245770489	1.077882644	0.618907692	0.97625412	1.535325719	0.815268507	1.560804653	0.326006877	0.424249155	0.410614735	1.212872375
ACRV1	0.295673125	0.188800424	0.159545843	0.146079431	0.136150813	0.183008948	0.213827707	0.328192149	0.304915508	0.388207094	0.232553249	0.137037363
ACSBG1	0.120048508	0.099134888	0.105800674	0.074332495	0.108541964	0.107348395	0.200997541	0.128254396	0.04605556	0.095755121	0.064186435	0.131226031
ACSBG2	0.072851473	0.058879869	0.099079822	0.088304831	0.050640278	0.056277679	0.043171937	0.127243504	0.128212834	0.043320916	0.010409734	0.055302155
ACSF2	2.442974333	2.405588136	1.859124474	1.30269526	2.760343871	1.519283433	1.468777567	1.603473198	1.330634094	1.44223869	2.24021131	3.114959746
ACSF3	2.462259552	0.982190736	1.551693042	1.627986752	2.444030564	1.996635322	1.013346765	2.111094631	1.404448722	1.604509976	1.524086126	1.899738428
ACSL1	4.075385094	3.167560761	4.184254097	4.106357467	2.423736779	2.482398711	3.723744539	2.622678443	3.236416866	5.595194118	2.687508621	4.068339145
ACSL3	4.628905762	2.700402298	3.899745006	3.919998329	4.783607083	3.807272986	4.952544696	4.094383071	3.934910346	4.263407775	4.25307599	4.518510968
ACSL4	4.124343817	3.414749434	4.677607518	3.82227597	4.340105094	4.244205391	4.272627317	2.772226107	3.54863091	3.70951511	4.39821991	4.523404399
ACSL5	5.672235689	6.147175704	4.997413479	2.017054296	5.51352971	5.724826468	4.062266583	1.852870302	4.072549921	1.226193048	4.423157469	5.269771957
ACSM1	0.371797312	0.457523328	0.250564598	0.257946075	0.156238778	0.329031012	0.095429442	0.119160724	0.097261056	0.077103972	0.024871193	0.362626306
ACSM3	0.185163953	2.737899989	0.851267323	0.295326658	1.964850248	0.949113963	0.524470444	1.468990791	0.151759423	0.107341826	0.292759126	1.027094615
ACSS1	4.274105772	3.082642589	3.765065624	2.50943876	3.864530559	3.540792342	4.313291287	3.858765702	2.00095588	2.495204087	2.575701486	2.202037115
ACSS2	5.933277199	5.214072821	3.902803997	3.236891087	5.230452987	5.003668778	3.782456119	3.690084032	2.58906808	3.303541229	3.182248454	3.872655859
ACSS3	0.071859404	0.029775917	1.096616082	0.023584452	0.106401891	0.092539489	0.412846658	0.193107466	0.091309936	0.147249359	0.072436244	0.56844511
ACTA1	0.430180557	0.244529332	0.379071062	0.747744661	0.390858484	0.433173434	0.221992308	0.487042977	0.372557718	0.222712871	0.201973914	0.326438646
ACTA2	3.794838542	4.438207078	6.729534636	3.172236289	5.172076214	4.132433317	5.932043755	3.457662078	4.652617439	6.634256544	4.498071353	6.498344467
ACTB	11.25600718	11.01280244	10.40232165	11.37894779	10.25583866	11.25926709	10.28952368	11.49777593	11.54889744	10.81585948	10.49246794	10.86113477
ACTC1	0.188965038	0.063832703	1.000511352	0.238528507	1.604553504	0.08651657	1.656608695	0.099026049	0.19392446	1.675482639	0.673178636	1.846950737
ACTG1	10.5580898	10.50482181	10.14100151	10.94947576	10.38662324	10.41014983	10.1014766	10.44056548	10.82750314	10.51298904	10.42810902	10.31516893
ACTG2	1.7896516	1.900373901	4.908746645	2.888258181	4.77170595	2.086790582	4.878548878	1.245760719	4.01052609	4.197121922	3.359179511	4.416511714
ACTL10	0.886217576	2.53292603	0.995309725	1.568959393	1.513675423	2.171080742	1.448718353	2.014908167	1.326126035	0.545804815	0.81813791	1.915129536
ACTL6A	3.909429694	4.186169527	3.674149256	4.983145481	4.518645187	3.910994064	3.610608051	5.028873583	4.871324352	5.380141791	5.697703995	3.889272669
ACTN1	4.965160552	4.490214249	4.981539662	3.960401329	4.312454369	4.480347026	4.663379873	3.74757414	6.270499987	4.227192829	4.473529399	5.199234241
ACTN4	8.406158662	8.820597206	7.717703662	7.900306292	6.976304839	7.728693236	6.806188783	7.045636238	7.464086505	6.47415122	6.871190466	7.32732344
ACTR10	3.255665589	2.910114213	3.09423193	3.237326412	2.901165685	3.1413847	3.013883868	3.12487556	3.645489239	4.213639737	3.838850113	3.452883564
ACTR1A	4.578897543	4.709245385	4.433482115	4.543852256	4.621261987	4.499395719	3.948100234	4.289565262	5.014261377	4.441760949	4.808445207	4.261077508
ACTR1B	4.801550654	3.713548017	3.705556921	4.105938905	3.755865283	3.869933581	3.672306097	4.232325084	3.069395457	3.866319508	4.069241098	4.382253598
ACTR2	5.903366042	5.85521547	6.391688597	5.784249391	6.186161919	6.242240702	5.949324512	6.432883023	6.244872687	5.202054377	6.294211509	6.15102291
ACTR3	4.576290437	4.456722468	5.308113545	5.207898185	4.466642607	4.312176946	4.391162416	6.164987107	5.004418859	4.519527394	5.045355215	4.418229001
ACTR3B	1.168282853	0.892412489	0.951100206	0.902918625	0.549275678	1.318481447	0.900662307	1.162789089	0.631834429	0.994260508	1.226810365	0.856836509
ACTR3C	0.863182869	0.525491117	0.786548504	0.311940677	0.709651621	1.076929784	0.631404191	0.73087097	0.396318807	0.071529057	1.001959567	1.176665598
